source_id,parallax (mas),parallax_error (mas),pf (days),pf_error (days),int_average_g (mag),int_average_g_error (mag),absolute magnitude / mag,luminosity/watts
4658039710832190000,0.09,0.03,2.91,9.15E-05,15.90,0.01,0.573268215,5.09545E+28
4658041707905510000,0.03,0.03,4.17,2.01E-04,15.62,0.01,-1.892949143,5.31383E+27
4658042287684440000,0.010301617,0.02,10.99,6.87E-04,14.11,0.00,-5.825289057,1.44539E+26
4658044869001110000,0.00,0.01,23.06,0.01,13.63,0.02,-8.944705582,8.28285E+24
4658046002872190000,0.01,0.03,4.68,1.67E-04,15.25,0.01,-5.493984352,1.95828E+26
4658046621347280000,0.02,0.06,2.57,1.45E-04,15.97,0.02,-3.020110426,1.89102E+27
4658053557649380000,0.06,0.14,1.841113703,6.77E-05,18.37,0.01,2.084413097,2.03588E+29
4658054691520440000,0.046287824,0.02,11.26183294,0.00,14.55,0.01,-2.124285163,4.29848E+27
4658055309996070000,0.21585962,0.12,26.61,0.03,15.94,0.02,2.608942046,3.29277E+29
4658059300095440000,0.025865072,0.04,7.458962994,3.25E-04,14.80,0.00,-3.132218572,1.70635E+27
4658059574973240000,0.338054326,0.07,2.736656204,1.65E-04,16.09,0.01,3.734017488,9.23511E+29
4658060120487290000,0.08,0.02,4.155619721,1.03E-04,15.45,0.01,-0.109010415,2.7263E+28
4658061872841830000,0.201167274,0.06,1.545924185,2.83E-05,17.22,0.01,3.735229659,9.24538E+29
4658067031038840000,0.01,0.02,6.696426479,4.17E-04,15.06,0.00,-5.773080316,1.51625E+26
4658073348979180000,0.01,0.04,1.87449632,1.55E-05,16.61,0.01,-4.553435842,4.63764E+26
4658077094094580000,0.04,0.04,25.01433534,0.01,16.43,0.01,-0.788563167,1.46235E+28
4658077407683720000,9.17E-04,0.02,13.12391277,6.92E-04,14.51,0.00,-10.68152323,1.68567E+24
4658082763450090000,0.105830908,0.03,3.322830813,0.00,15.54,0.02,0.660334105,5.51877E+28
4658084004755960000,0.02,0.02,4.619752118,7.75E-05,15.46,0.00,-2.679878852,2.58309E+27
4658086925335130000,0.029363963,0.01,19.12926209,0.01,13.82,0.01,-3.844982676,8.87819E+26
4658088913822020000,0.04,0.03,3.320934713,6.66E-05,16.00,0.01,-1.252308565,9.5596E+27
4658094999876480000,0.01567773,0.03,4.281370375,1.98E-04,15.60,0.00,-3.424471633,1.30534E+27
4658108537614580000,0.04,0.03,3.019216899,4.77E-05,16.11,0.00,-0.744920917,1.52204E+28
4658109018650720000,0.01,0.02,5.832014531,1.89E-04,15.32,0.00,-5.229703133,2.49507E+26
4658111801792690000,0.00,0.02,9.570198466,5.49E-04,14.74,0.01,-8.04178172,1.89506E+25
4658113725937640000,0.012442465,0.03,3.786729787,1.50E-04,16.09,0.00,-3.435881921,1.29176E+27
4116810545125630000,0.129497674,0.04,3.425382016,1.06E-04,15.21,0.00,0.766485844,6.08275E+28
4116832153018410000,0.09,0.03,10.13871836,0.00,14.92,0.00,-0.410939831,2.06719E+28
4116883452108510000,0.231925318,0.08,2.002790792,1.37E-04,16.62,0.01,3.447399806,7.10138E+29
4116885101368690000,0.172718059,0.06,3.558520537,1.04E-04,15.69,0.00,1.879325238,1.68698E+29
5248758861045370000,0.09,0.04,1.765440081,1.23E-04,15.09,0.01,-0.245892719,2.40482E+28
5312989963826740000,0.060993522,0.03,2.47110779,2.41E-05,15.49,0.00,-0.587067449,1.759E+28
5313185367659960000,0.208351024,0.01,11.2067598,2.48E-04,12.32,9.96E-04,-1.088918804,1.11041E+28
5313250548085690000,0.196935459,0.02,3.35494125,6.43E-05,12.69,0.01,-0.835836401,1.40034E+28
5313283533433600000,0.08,0.02,2.83186454,2.54E-04,15.15,0.01,-0.38850984,2.11013E+28
4118563540229870000,0.198902456,0.04,8.460087252,9.41E-04,15.74,0.01,2.231099733,2.32888E+29
5256178232392030000,0.105985784,0.02,2.84479133,6.24E-05,15.01,0.00,0.134832579,3.40915E+28
6734274043115980000,0.09,0.02,8.592702804,0.00,13.22,0.00,-2.009823634,4.77399E+27
6734367261085160000,0.134108216,0.02,14.07300456,6.52E-04,11.90,0.01,-2.462402067,3.15293E+27
6198435748631440000,0.08,0.03,1.077009515,1.36E-04,14.76,0.06,-0.683801679,1.60974E+28
5846979704372500000,0.178353049,0.02,23.14210028,0.03,11.73,0.05,-2.010868314,4.76942E+27
2161786374436600000,0.795425801,0.02,14.71220112,0.00,8.42,0.02,-2.08106063,4.47221E+27
2162268853891030000,0.08,0.02,2.758983037,5.21E-05,14.91,0.00,-0.63368966,1.68541E+28
2162275240493960000,0.114457719,0.01,3.950541306,1.26E-05,13.77,1.00E-04,-0.936845561,1.2765E+28
4658877302341260000,0.06,0.06,6.258330988,5.55E-04,17.31,0.00,1.27882488,9.72874E+28
4658904137298510000,0.08,0.07,9.449050164,0.00,17.12,0.00,1.553085991,1.25094E+29
4658915579091880000,0.01161045,0.01,27.88926213,0.01,13.53,0.01,-6.142195811,1.08101E+26
4658926574208570000,0.06,0.05,13.08397696,0.00,16.86,0.01,0.784394955,6.18343E+28
4658939218593740000,0.017484122,0.03,3.563216167,3.47E-05,15.73,6.85E-04,-3.052680887,1.8354E+27
4658956123585600000,0.03,0.02,5.224582141,6.58E-05,15.10,0.00,-2.247056571,3.84097E+27
4658964679161010000,0.00,0.04,15.44457409,0.00,16.29,0.00,-5.231265122,2.4915E+26
4658970245439070000,0.03,0.04,2.907459926,2.35E-05,16.11,0.00,-1.703533379,6.32138E+27
4658984229824330000,0.03016068,0.02,5.042959356,1.45E-04,15.11,0.01,-2.490197829,3.07362E+27
4659124623720070000,0.01,0.06,1.048206643,1.50E-05,17.45,0.02,-3.656106443,1.05564E+27
4659138230176090000,0.00,0.02,8.27957867,2.61E-04,14.67,0.00,-7.406903641,3.39127E+25
4659145304002000000,0.01,0.02,4.439279269,1.79E-04,15.35,0.00,-3.975529924,7.87689E+26
4659172967872770000,0.022801836,0.03,3.00822614,3.09E-05,15.72,0.01,-2.485414937,3.08712E+27
4659178809028710000,2.78E-04,0.03,2.444181974,7.41E-05,15.81,0.02,-11.97032082,5.17268E+23
4659189391829420000,0.00,0.03,4.173228452,2.05E-04,15.37,0.01,-9.292625446,6.02111E+24
4659202311090820000,0.05,0.03,4.123879922,8.15E-05,15.50,0.00,-0.927680426,1.28727E+28
4659206773546900000,0.07,0.09,2.755123136,1.33E-04,17.92,0.01,2.084541357,2.03612E+29
4659218769405940000,0.020300679,0.02,4.938458619,1.44E-04,15.37,0.01,-3.093822205,1.76747E+27
4659220384315190000,9.42E-04,0.02,2.987980603,3.53E-04,15.34,0.00,-9.786501679,3.82886E+24
4659225366477830000,0.011547677,0.03,2.941943582,6.40E-05,15.88,0.01,-3.806164815,9.19978E+26
4659234368728480000,0.01,0.02,5.38,1.18E-04,15.21,0.00,-4.873498087,3.45847E+26
4659241339466930000,0.111370202,0.04,2.655458959,5.42E-05,15.98,0.01,1.211471032,9.14627E+28
4659249246494770000,0.05,0.02,5.506209729,0.00,15.09,0.01,-1.293941417,9.20166E+27
4659252373231010000,0.00,0.03,3.647789717,2.95E-04,15.34,0.02,-7.285229664,3.7914E+25
4249529466887850000,0.10,0.03,1.352832143,3.05E-05,15.39,0.00,0.307675,3.99441E+28
2021445908555850000,0.08,0.08,2.98594521,4.61E-05,17.38,0.00,1.868338414,1.67007E+29
